"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01023","1","102","72","0","2019","A","",8,27,1177390,0,0,844,43878,"",4.19,0.40,0.23,0.00,0.00,0.59,0.59,"",1,14.3,1,3.8,-14898,-1.2,0,0.0,0,0.0,-55,-6.1,-2878,-6.2
"01023","2","102","72","0","2019","A","",11,70,2053884,0,0,563,29272,"",5.10,0.62,0.33,0.00,0.00,0.53,0.53,"",0,0.0,1,1.4,-5825,-0.3,0,0.0,0,0.0,-8,-1.4,-435,-1.5
"01023","3","102","72","0","2019","A","",23,364,12437555,263215,1552,658,34200,"",4.36,1.04,0.76,0.62,0.53,0.73,0.73,"",0,0.0,-9,-2.4,-66773,-0.5,-10420,-3.8,-787,-33.6,14,2.2,691,2.1
"01023","5","102","72","0","2019","A","",230,1780,65998546,17128140,250682,713,37087,"",0.84,0.69,0.51,0.70,0.61,0.73,0.73,"",10,4.5,-83,-4.5,-3014602,-4.4,-2859422,-14.3,-77808,-23.7,1,0.1,48,0.1
"01025","1","102","72","0","2019","A","",14,72,4161441,0,0,1115,57999,"",3.60,0.48,0.47,0.00,0.00,0.98,0.98,"",0,0.0,3,4.3,125683,3.1,0,0.0,0,0.0,-15,-1.3,-774,-1.3
"01025","2","102","72","0","2019","A","",16,351,16511590,0,0,905,47064,"",3.64,1.42,1.51,0.00,0.00,1.07,1.07,"",0,0.0,6,1.7,633401,4.0,0,0.0,0,0.0,19,2.1,1007,2.2
"01025","3","102","72","0","2019","A","",35,1321,45948486,1348280,12433,669,34792,"",3.26,1.74,1.62,1.68,3.62,0.94,0.93,"",-2,-5.4,1,0.1,-962381,-2.1,67327,5.3,893,7.7,-15,-2.2,-760,-2.1
"01025","5","102","72","0","2019","A","",499,4115,128827721,37204732,400964,602,31307,"",0.90,0.73,0.57,0.81,0.83,0.78,0.78,"",9,1.8,-16,-0.4,4288699,3.4,474818,1.3,-25741,-6.0,22,3.8,1157,3.8
"01027","1","102","72","0","2019","A","",6,50,2818495,0,0,1088,56558,"",4.65,0.62,0.69,0.00,0.00,1.12,1.12,"",0,0.0,-3,-5.7,-140166,-4.7,0,0.0,0,0.0,16,1.5,822,1.5
"01027","2","102","72","0","2019","A","",10,53,1889705,0,0,692,35994,"",6.86,0.40,0.38,0.00,0.00,0.95,0.95,"",0,0.0,3,6.0,149999,8.6,0,0.0,0,0.0,23,3.4,1200,3.4
"01027","3","102","72","0","2019","A","",17,849,26781891,646929,7752,607,31542,"",4.77,2.07,2.05,1.42,4.49,0.99,0.99,"",0,0.0,8,1.0,1093188,4.3,-11306,-1.7,440,6.0,19,3.2,978,3.2
"01027","5","102","72","0","2019","A","",146,993,30933509,8279315,78159,599,31167,"",0.79,0.33,0.30,0.32,0.32,0.90,0.90,"",1,0.7,7,0.7,1296948,4.4,3750,0.0,-8015,-9.3,21,3.6,1107,3.7
"01029","1","102","72","0","2019","A","",8,49,2559463,0,0,1004,52234,"",5.82,1.28,1.09,0.00,0.00,0.85,0.85,"",1,14.3,1,2.1,-148913,-5.5,0,0.0,0,0.0,-85,-7.8,-4387,-7.7
"01029","2","102","72","0","2019","A","",11,116,3551507,0,0,590,30660,"",7.09,1.82,1.22,0.00,0.00,0.67,0.67,"",0,0.0,-13,-10.1,-30959,-0.9,0,0.0,0,0.0,57,10.7,2943,10.6
"01029","3","102","72","0","2019","A","",31,605,23335123,1209730,8916,742,38592,"",8.17,3.09,3.09,6.24,7.85,1.00,1.00,"",0,0.0,-7,-1.1,759630,3.4,-17802,-1.5,-4902,-35.5,33,4.7,1724,4.7
"01029","5","102","72","0","2019","A","",143,716,20270489,6089421,68449,544,28307,"",0.73,0.50,0.34,0.55,0.43,0.68,0.68,"",4,2.9,-25,-3.4,-3949092,-16.3,-805306,-11.7,-15152,-18.1,-85,-13.5,-4396,-13.4
"01031","1","102","72","0","2019","A","",17,303,19575093,0,0,1242,64587,"",2.69,0.99,1.27,0.00,0.00,1.28,1.28,"",1,6.2,17,5.9,1721622,9.6,0,0.0,0,0.0,42,3.5,2162,3.5
"01031","2","102","72","0","2019","A","",21,436,18828323,0,0,831,43209,"",2.95,0.86,0.98,0.00,0.00,1.15,1.15,"",0,0.0,8,1.9,773594,4.3,0,0.0,0,0.0,19,2.3,1000,2.4
"01031","3","102","72","0","2019","A","",43,1899,75191368,2142212,14993,762,39599,"",2.47,1.21,1.51,1.19,2.01,1.25,1.25,"",1,2.4,-4,-0.2,2177544,3.0,31537,1.5,-2514,-14.4,24,3.3,1238,3.2
"01031","5","102","72","0","2019","A","",829,9026,295683030,82672957,816787,630,32759,"",0.92,0.78,0.75,0.80,0.78,0.95,0.95,"",-8,-1.0,90,1.0,12277186,4.3,1284389,1.6,-12366,-1.5,20,3.3,1044,3.3
"01033","1","102","72","0","2019","A","",15,590,64270060,0,0,2095,108932,"",1.90,1.30,2.21,0.00,0.00,1.70,1.70,"",1,7.1,9,1.5,1641134,2.6,0,0.0,0,0.0,24,1.2,1214,1.1
"01033","2","102","72","0","2019","A","",18,675,25905017,0,0,738,38392,"",2.02,0.90,0.72,0.00,0.00,0.80,0.80,"",0,0.0,28,4.3,1300689,5.3,0,0.0,0,0.0,7,1.0,383,1.0
"01033","3","102","72","0","2019","A","",46,3269,143100084,1512736,11409,842,43782,"",2.11,1.41,1.53,0.60,0.82,1.08,1.08,"",0,0.0,32,1.0,6831534,5.0,61820,4.3,-2572,-18.4,32,4.0,1683,4.0
"01033","5","102","72","0","2019","A","",1018,11661,411913415,106102953,1092011,679,35325,"",0.90,0.68,0.55,0.73,0.55,0.81,0.81,"",24,2.4,390,3.5,18227568,4.6,3148228,3.1,3989,0.4,7,1.0,396,1.1
"01035","1","102","72","0","2019","A","",5,26,1277020,0,0,933,48494,"",3.33,0.41,0.38,0.00,0.00,0.92,0.91,"",1,25.0,0,0.0,21852,1.7,0,0.0,0,0.0,-7,-0.7,-409,-0.8
"01035","2","102","72","0","2019","A","",12,187,8361975,0,0,862,44836,"",7.07,1.76,1.99,0.00,0.00,1.13,1.13,"",0,0.0,9,5.1,302179,3.7,0,0.0,0,0.0,-8,-0.9,-401,-0.9
"01035","3","102","72","0","2019","A","",21,501,17812960,132775,781,684,35543,"",5.06,1.53,1.63,0.37,0.40,1.07,1.06,"",0,0.0,-4,-0.8,182001,1.0,-6373,-4.6,-40,-4.9,12,1.8,601,1.7
"01035","5","102","72","0","2019","A","",168,1959,67425312,18632231,180038,662,34420,"",0.78,0.81,0.77,0.90,0.66,0.95,0.95,"",3,1.8,-38,-1.9,999037,1.5,167199,0.9,-17039,-8.6,22,3.4,1151,3.5
"01037","1","102","72","0","2019","A","",6,18,833970,0,0,895,46547,"",7.95,0.67,0.60,0.00,0.00,0.90,0.90,"",1,20.0,0,0.0,30485,3.8,0,0.0,0,0.0,20,2.3,1067,2.3
"01037","2","102","72","0","2019","A","",10,46,1517390,0,0,633,32927,"",11.74,1.03,0.88,0.00,0.00,0.85,0.85,"",0,0.0,1,2.2,8985,0.6,0,0.0,0,0.0,-6,-0.9,-286,-0.9
"01037","3","102","72","0","2019","A","",14,273,8545472,81513,479,603,31350,"",6.72,1.98,1.91,0.59,0.68,0.97,0.96,"",-2,-12.5,-7,-2.5,174446,2.1,6383,8.5,36,8.1,28,4.9,1471,4.9
"01037","5","102","72","0","2019","A","",77,416,14425694,3614652,39350,667,34670,"",0.72,0.41,0.40,0.46,0.40,0.99,0.99,"",6,8.5,13,3.2,1341313,10.3,144940,4.2,3811,10.7,42,6.7,2189,6.7
"01039","1","102","72","0","2019","A","",14,122,6864753,0,0,1086,56461,"",2.60,0.53,0.57,0.00,0.00,1.07,1.07,"",1,7.7,6,5.2,160072,2.4,0,0.0,0,0.0,-22,-2.0,-1131,-2.0
"01039","2","102","72","0","2019","A","",16,361,16583560,0,0,884,45959,"",2.63,0.95,1.11,0.00,0.00,1.17,1.17,"",1,6.7,-7,-1.9,275417,1.7,0,0.0,0,0.0,32,3.8,1643,3.7
"01039","3","102","72","0","2019","A","",46,1531,54554367,319707,1887,685,35627,"",3.09,1.31,1.41,0.25,0.20,1.08,1.08,"",-1,-2.1,-35,-2.2,1358424,2.6,6301,2.0,39,2.1,32,4.9,1667,4.9
"01039","5","102","72","0","2019","A","",695,7341,266915319,64277112,716437,699,36361,"",0.91,0.85,0.87,0.89,0.55,1.01,1.02,"",19,2.8,128,1.8,10660434,4.2,1146389,1.8,-30208,-4.0,16,2.3,832,2.3
"01041","1","102","72","0","2019","A","",10,41,1755199,0,0,827,42984,"",6.45,0.59,0.46,0.00,0.00,0.78,0.78,"",1,11.1,2,5.1,9041,0.5,0,0.0,0,0.0,-34,-3.9,-1789,-4.0
"01041","2","102","72","0","2019","A","",9,45,1929150,0,0,823,42791,"",5.14,0.39,0.41,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,-8642,-0.4,0,0.0,0,0.0,-2,-0.2,-112,-0.3
"01041","3","102","72","0","2019","A","",22,539,18780162,305717,1800,671,34875,"",5.14,1.51,1.52,0.72,0.60,1.01,1.01,"",0,0.0,-1,-0.2,378247,2.1,11537,3.9,69,4.0,16,2.4,818,2.4
"01041","5","102","72","0","2019","A","",170,1705,65708649,16960737,373148,741,38535,"",0.77,0.65,0.67,0.69,0.89,1.03,1.03,"",2,1.2,2,0.1,4385563,7.2,707987,4.4,24711,7.1,49,7.1,2526,7.0
"01043","1","102","72","0","2019","A","",20,210,11528895,0,0,1057,54987,"",1.82,0.39,0.37,0.00,0.00,0.97,0.97,"",1,5.3,13,6.6,499079,4.5,0,0.0,0,0.0,-22,-2.0,-1097,-2.0
"01043","2","102","72","0","2019","A","",17,694,30030447,0,0,832,43261,"",1.37,0.77,0.79,0.00,0.00,1.02,1.02,"",0,0.0,-30,-4.1,786490,2.7,0,0.0,0,0.0,56,7.2,2887,7.2
"01043","3","102","72","0","2019","A","",50,3412,125040877,2156551,14338,705,36646,"",1.65,1.23,1.26,0.68,1.23,1.02,1.02,"",0,0.0,69,2.1,6176945,5.2,148383,7.4,-1179,-7.6,21,3.1,1086,3.1
"01043","5","102","72","0","2019","A","",1424,17223,622331161,159068440,1446022,695,36133,"",0.91,0.84,0.79,0.88,0.88,0.93,0.93,"",5,0.4,57,0.3,16633276,2.7,2248290,1.4,-68889,-4.5,16,2.4,847,2.4
"01045","1","102","72","0","2019","A","",36,2879,195536507,0,0,1306,67912,"",6.97,8.93,7.86,0.00,0.00,0.88,0.88,"",0,0.0,-21,-0.7,4633335,2.4,0,0.0,0,0.0,40,3.2,2074,3.2
"01045","2","102","72","0","2019","A","",14,179,8238962,0,0,887,46135,"",2.40,0.34,0.27,0.00,0.00,0.80,0.80,"",0,0.0,7,4.1,491208,6.3,0,0.0,0,0.0,22,2.5,1177,2.6
"01045","3","102","72","0","2019","A","",56,1919,68806915,956409,5811,689,35852,"",3.93,1.17,0.86,0.62,0.93,0.74,0.74,"",-1,-1.8,-5,-0.3,1512896,2.2,-37764,-3.8,-1093,-15.8,16,2.4,871,2.5
"01045","5","102","72","0","2019","A","",665,7617,332919539,71034546,877920,841,43710,"",0.90,0.63,0.52,0.81,1.00,0.83,0.83,"",11,1.7,94,1.2,7413877,2.3,-3546732,-4.8,-96529,-9.9,9,1.1,442,1.0
"01047","1","102","72","0","2019","A","",18,150,9658807,0,0,1239,64428,"",3.55,0.66,0.74,0.00,0.00,1.13,1.13,"",1,5.9,0,0.0,-225199,-2.3,0,0.0,0,0.0,-25,-2.0,-1283,-2.0
"01047","2","102","72","0","2019","A","",20,632,28720532,0,0,874,45438,"",3.50,1.67,1.79,0.00,0.00,1.07,1.07,"",0,0.0,54,9.3,5608512,24.3,0,0.0,0,0.0,104,13.5,5423,13.6
"01047","3","102","72","0","2019","A","",63,1620,55964333,532465,7161,665,34557,"",4.50,1.39,1.34,0.42,0.89,0.96,0.96,"",-1,-1.6,-141,-8.0,-1582775,-2.8,6322,1.2,3076,75.3,37,5.9,1885,5.8
"01047","5","102","72","0","2019","A","",639,6272,203157467,57323600,699175,623,32392,"",0.88,0.73,0.61,0.79,0.62,0.84,0.84,"",10,1.6,-144,-2.2,7647899,3.9,-1003845,-1.7,-90589,-11.5,37,6.3,1918,6.3
"01049","1","102","72","0","2019","A","",20,167,9217597,0,0,1063,55278,"",2.81,0.40,0.40,0.00,0.00,1.02,1.02,"",1,5.3,8,5.0,609707,7.1,0,0.0,0,0.0,22,2.1,1140,2.1
"01049","2","102","72","0","2019","A","",16,541,20864962,0,0,741,38556,"",1.99,0.78,0.74,0.00,0.00,0.95,0.95,"",-1,-5.9,12,2.3,949061,4.8,0,0.0,0,0.0,18,2.5,937,2.5
"01049","3","102","72","0","2019","A","",59,2683,100206633,4142850,29128,718,37351,"",3.00,1.25,1.37,1.64,2.60,1.09,1.09,"",-1,-1.7,30,1.1,4732610,5.0,154546,3.9,3234,12.5,26,3.8,1364,3.8
"01049","5","102","72","0","2019","A","",895,11522,367674335,110860951,1119828,614,31911,"",0.88,0.73,0.63,0.76,0.71,0.86,0.86,"",9,1.0,397,3.6,14673206,4.2,4732286,4.5,-91558,-7.6,4,0.7,180,0.6
"01051","1","102","72","0","2019","A","",14,169,8234027,0,0,936,48650,"",1.68,0.45,0.42,0.00,0.00,0.93,0.93,"",-1,-6.7,4,2.4,26546,0.3,0,0.0,0,0.0,-18,-1.9,-967,-1.9
"01051","2","102","72","0","2019","A","",27,931,48005500,0,0,992,51582,"",2.87,1.51,1.99,0.00,0.00,1.32,1.32,"",0,0.0,37,4.1,1938037,4.2,0,0.0,0,0.0,1,0.1,28,0.1
"01051","3","102","72","0","2019","A","",47,3343,124141235,8734786,85113,714,37133,"",2.04,1.76,1.98,4.37,11.02,1.13,1.12,"",1,2.2,-22,-0.7,5925897,5.0,-252360,-2.8,-1555,-1.8,38,5.6,2003,5.7
"01051","5","102","72","0","2019","A","",1093,11943,359501766,104227796,972954,579,30100,"",0.92,0.85,0.72,0.91,0.90,0.84,0.84,"",20,1.9,11,0.1,17247622,5.0,1368447,1.3,-11082,-1.1,27,4.9,1415,4.9
"01053","1","102","72","0","2019","A","",7,58,3043561,0,0,1005,52250,"",1.43,0.24,0.22,0.00,0.00,0.90,0.90,"",1,16.7,4,7.4,-18851,-0.6,0,0.0,0,0.0,-82,-7.5,-4287,-7.6
"01053","2","102","72","0","2019","A","",19,498,22058465,0,0,852,44316,"",3.43,1.25,1.28,0.00,0.00,1.02,1.02,"",0,0.0,11,2.3,-141056,-0.6,0,0.0,0,0.0,-26,-3.0,-1315,-2.9
"01053","3","102","72","0","2019","A","",42,3396,148954641,17248903,120170,843,43860,"",3.10,2.76,3.32,13.08,20.08,1.20,1.20,"",-2,-4.5,-25,-0.7,8382250,6.0,166300,1.0,-2096,-1.7,53,6.7,2769,6.7
